aum_yi,aum,annual,sharpe,mdd,avg_impact_bps,max_impact_bps,k
0.5,50000000.0,0.019265265638542584,0.06999569266411931,-0.7635770453162141,0.5207822844212349,2.1343221550545133,0.3
2.0,200000000.0,0.005978734634578764,0.021865684837501072,-0.7912571394384971,1.0414870064517314,4.268644310109027,0.3
5.0,500000000.0,-0.009242586188496937,-0.03406112052394318,-0.8193827102617286,1.646502731026285,6.705755384082875,0.3
20.0,2000000000.0,-0.04937178043536272,-0.1857280138058036,-0.8780161835031104,3.287048371402583,12.554239280938152,0.3
50.0,5000000000.0,-0.09206067632624293,-0.35426276754846187,-0.9209765696094546,5.109749946311714,17.176831393416432,0.3
0.5,50000000.0,-0.011473175440927408,-0.04232895319034876,-0.8231965945237166,1.7359409480707828,7.114407183515048,1.0
2.0,200000000.0,-0.05378408531780854,-0.20279263531160605,-0.8832681119487751,3.4716233548391053,14.228814367030097,1.0
5.0,500000000.0,-0.1006851607635908,-0.3892616855257872,-0.9279556974716223,5.488342436754284,22.35251794694293,1.0
20.0,2000000000.0,-0.21653093340444707,-0.8948987678806662,-0.9805463473639506,10.95682790467528,41.847464269793875,1.0
50.0,5000000000.0,-0.3278848401748521,-1.45653557261385,-0.995534699687465,17.032499821039046,57.25610464472142,1.0
