gate,borrow_rate,annual,sharpe,mdd,boot_p
V1,0.0,0.03279389307428726,0.1724656136118421,-0.41629146530115707,0.2892
V1,0.08,-0.0038490155948263105,-0.020613592621169387,-0.49601490205004617,0.464
V1,0.1,-0.012805575574750261,-0.0688903959424537,-0.5218113370212675,0.4061
永续,0.0,0.027813872073353396,0.08768503981739097,-0.5666429842122396,
V1_noliq,0.0,0.030371500799188267,0.18112512235460196,-0.3979626386725652,
V1_post,0.0,0.024689327808574246,0.12701072386394338,-0.47989419069598016,
V1_no_select,0.0,-0.027954640977983947,-0.16080958696301842,-0.5440079551071448,
