portfolio,annual,sharpe,mdd,ex_annual,te,ir,boot_p
LO-raw,0.16464890372536223,0.6002524682785984,-0.4651088498689095,0.0937265011172228,0.0805421517723968,1.1125429263401143,0.0373
LO-neutral,0.1288561905907133,0.4394520408385385,-0.5401528072214408,0.060105167436564466,0.05800075629413736,1.006450288143866,0.0982
