start,end,gated_cum,index_chg
2015-10-30,2015-11-06,-0.023131764209668004,0.051076567568166586
2015-11-13,2015-11-18,0.011744424379574347,-0.005307972345577783
2015-11-27,2016-08-12,0.25912171050440347,-0.1460161190348751
2017-01-13,2017-02-07,-0.02667630824058176,0.009890781684926075
2017-04-19,2017-08-11,0.03117411432297934,-0.02983255561717657
2017-08-24,2017-08-24,0.0016748637759416152,0.0
2017-11-23,2017-12-29,0.0036319243459286277,-0.0037757524052473013
2018-01-15,2018-01-19,0.007145232501057919,0.003039158854218682
2018-01-31,2019-02-22,0.2871768374594632,-0.22814125122529216
2019-06-05,2019-06-10,0.0013203023486767496,-0.012241253022686305
2019-07-22,2019-07-22,-7.599999999996498e-05,0.0
2019-08-05,2019-08-16,-0.008737650993348112,-0.0061704753214657515
2019-10-21,2019-12-12,-0.03252104092245112,0.01231378893504087
2020-02-03,2020-02-04,-0.0025057343824657075,0.01742511201101382
2020-03-23,2020-04-03,-0.0021933790653763108,0.021630677650795738
2021-03-08,2021-04-16,0.004977911277753488,0.013295389949877334
2022-01-25,2022-12-02,0.10027147780431189,-0.08540148375213452
2022-12-12,2023-01-13,0.009366625985685717,-0.015779368107787906
2023-03-16,2023-03-20,-0.0024847412001294256,0.0031791133438814345
2023-04-25,2023-04-27,0.002253255091476003,0.006502518423616932
2023-05-09,2024-05-08,0.1908718173696775,-0.11698845726617779
2024-05-15,2024-09-26,0.06855563106805596,-0.09335486360924194
2025-04-07,2025-04-08,-0.0015177768862005836,0.007543114963924902
