horizon_months,n_events,event_mean_cum,event_median,normal_mean_cum,normal_std,p_worse_than_normal
3,5,0.014362777172508534,0.009733732565444297,0.0007932659656609608,0.021661023235907198,0.276
6,5,0.025597215695801267,0.023920832087364508,0.0036485097879739702,0.03200424248434901,0.238
12,5,0.03605171068326629,0.041693182834156683,0.00896764064706851,0.04372047122977982,0.272
