horizon_months,n_events,event_mean_cum,event_median,normal_mean_cum,normal_std,p_worse_than_normal
3,4,0.0023786602998429884,0.003408389864487771,0.0020833717417069694,0.024320096451624654,0.548
6,4,0.0012909086158501837,0.002258009331627453,0.0044240030485626445,0.03504151754865079,0.564
12,4,0.007266177869052037,-0.0026875652141568063,0.013078466065226798,0.04691383641206986,0.582
